customer_id,full_name,email,phone,city,customer_status,created_at,updated_at
CUS0004680,Đỗ Chiến,customer0004680@example.com,0585150619,Hải Phòng,active,2025-10-07 09:35:14,2026-07-31 09:35:14
CUS0006376,Đặng Trung,customer0006376@example.com,0907564841,Nha Trang,active,2024-11-03 09:35:14,2026-08-06 09:35:14
CUS0011204,Trần Chiến,customer0011204@example.com,0333715795,Hải Phòng,active,2026-03-13 09:35:14,2026-08-03 09:35:14
CUS0008701,Phan Nam,customer0008701@example.com,0506195582,Vũng Tàu,active,2024-08-30 09:35:14,2026-08-02 09:35:14
CUS0007173,Nguyễn Yến,customer0007173@example.com,0841230797,Đà Nẵng,active,2024-09-19 09:35:14,2026-08-02 09:35:14
CUS0005805,Lê Hoàng,customer0005805@example.com,0393394049,Đà Nẵng,active,2025-05-15 09:35:14,2026-08-04 09:35:14
CUS0000519,Bùi Mai,customer0000519@example.com,0372104431,Hải Phòng,active,2026-06-17 09:35:14,2026-08-02 09:35:14
CUS0002326,Võ Trang,customer0002326@example.com,0366279769,Đà Nẵng,active,2025-03-21 09:35:14,2026-08-02 09:35:14
CUS0007473,Đặng Hải,customer0007473@example.com,0527614487,TP. Hồ Chí Minh,active,2024-10-13 09:35:14,2026-08-04 09:35:14
CUS0010550,Nguyễn Khánh,customer0010550@example.com,0951200048,Hà Nội,active,2025-11-01 09:35:14,2026-07-31 09:35:14
CUS0009653,Đặng Trung,customer0009653@example.com,0996024429,TP. Hồ Chí Minh,active,2025-01-10 09:35:14,2026-08-04 09:35:14
CUS0000219,Dương Long,customer0000219@example.com,0814028850,Nha Trang,active,2025-04-05 09:35:14,2026-08-04 09:35:14
CUS0005580,Hồ Khánh,customer0005580@example.com,0446714325,Vũng Tàu,active,2025-01-05 09:35:14,2026-08-05 09:35:14
CUS0009782,Hoàng Hải,customer0009782@example.com,0789643875,Huế,active,2026-04-12 09:35:14,2026-08-02 09:35:14
CUS0003329,Vũ Khánh,customer0003329@example.com,0336967979,Vũng Tàu,active,2024-12-02 09:35:14,2026-08-01 09:35:14
CUS0004602,Bùi Việt,customer0004602@example.com,0924724509,Hà Nội,active,2024-12-21 09:35:14,2026-08-03 09:35:14
CUS0006381,Đặng Hiếu,customer0006381@example.com,0349633054,Hải Phòng,active,2025-12-04 09:35:14,2026-08-02 09:35:14
CUS0006530,Lê Hùng,customer0006530@example.com,0630596680,Huế,blocked,2024-12-05 09:35:14,2026-07-31 09:35:14
CUS0002391,Hoàng Long,customer0002391@example.com,0758595130,Đà Nẵng,active,2025-04-18 09:35:14,2026-08-04 09:35:14
CUS0011861,Phan Dũng,customer0011861@example.com,0993164552,TP. Hồ Chí Minh,active,2026-07-05 09:35:14,2026-08-03 09:35:14
CUS0009943,Phạm Trang,customer0009943@example.com,0651222547,Hải Phòng,active,2024-10-16 09:35:14,2026-07-31 09:35:14
CUS0010504,Đỗ Bình,customer0010504@example.com,0735843185,Cần Thơ,active,2025-07-09 09:35:14,2026-08-04 09:35:14
CUS0007110,Lê Hiếu,customer0007110@example.com,0737400746,Nha Trang,active,2026-06-03 09:35:14,2026-08-04 09:35:14
