driver_id,full_name,phone,license_number,vehicle_brand,vehicle_plate,rating,driver_status,joined_at,updated_at
DRV002581,Phạm Khánh,0968303066,GPLX-65021563,Hyundai,55A-66618,3.97,available,2023-04-11 09:35:14,2026-08-02 09:35:14
DRV003660,Ngô Khánh,0660871831,GPLX-62588740,Hyundai,17A-49142,4.59,busy,2023-09-14 09:35:14,2026-08-03 09:35:14
DRV000898,Dương Trang,0948703080,GPLX-69787753,Hyundai,30A-72260,4.58,available,2024-08-18 09:35:14,2026-08-02 09:35:14
DRV002092,Trần Khánh,0567713667,GPLX-75116784,Hyundai,78A-24447,4.6,available,2025-03-14 09:35:14,2026-08-03 09:35:14
DRV001045,Võ Hùng,0659481055,GPLX-57821751,VinFast,57A-34615,4.68,available,2025-09-13 09:35:14,2026-08-04 09:35:14
DRV002321,Dương Hải,0545001508,GPLX-44699111,Mazda,97A-76197,4.41,available,2025-06-24 09:35:14,2026-08-01 09:35:14
DRV000466,Trần Nga,0941671699,GPLX-51367136,Toyota,70A-62656,3.86,available,2023-06-01 09:35:14,2026-08-02 09:35:14
DRV000197,Ngô Phong,0864559945,GPLX-17496283,Mazda,24A-19142,3.59,available,2022-01-04 09:35:14,2026-08-05 09:35:14
DRV003880,Huỳnh Vân,0528741488,GPLX-52807656,Toyota,31A-49758,4.03,available,2022-01-13 09:35:14,2026-08-05 09:35:14
DRV003553,Bùi Giang,0887021103,GPLX-69498953,VinFast,82A-32805,4.7,offline,2024-10-30 09:35:14,2026-08-06 09:35:14
DRV000110,Hoàng Nam,0514758775,GPLX-22015641,Hyundai,98A-60177,4.15,offline,2025-02-03 09:35:14,2026-08-06 09:35:14
DRV003230,Ngô Trung,0963550667,GPLX-90661697,Honda,62A-18297,3.98,busy,2025-11-27 09:35:14,2026-08-05 09:35:14
DRV002006,Bùi Ngọc,0872802871,GPLX-62137093,Ford,66A-13109,4.76,busy,2024-02-02 09:35:14,2026-08-01 09:35:14
DRV002464,Dương Hoàng,0795932790,GPLX-96235942,VinFast,33A-87221,3.55,available,2025-04-21 09:35:14,2026-08-03 09:35:14
DRV002785,Vũ Trung,0316354010,GPLX-36136260,Ford,47A-71898,3.86,offline,2025-12-16 09:35:14,2026-08-02 09:35:14
DRV003788,Đỗ Linh,0534487897,GPLX-43940654,Honda,71A-92882,4.6,offline,2024-01-11 09:35:14,2026-08-05 09:35:14
DRV001617,Ngô Dũng,0953716005,GPLX-32002699,Ford,80A-55235,3.52,offline,2026-03-03 09:35:14,2026-08-02 09:35:14
DRV003838,Vũ Bình,0643461701,GPLX-81981042,Ford,80A-20154,3.95,busy,2026-01-09 09:35:14,2026-08-02 09:35:14
DRV002245,Huỳnh Phúc,0583772210,GPLX-10645447,Hyundai,81A-52239,4.34,suspended,2024-05-02 09:35:14,2026-08-06 09:35:14
DRV000150,Trần Bình,0823180836,GPLX-58337274,Mazda,31A-40498,4.81,available,2023-09-28 09:35:14,2026-08-03 09:35:14
